root_tweet_id,text,thread_head,intent,escalate
1855462,your iOS app has been frozen for huge chunks of time since the update. It’s almost impossible to use.,"customer: your iOS app has been frozen for huge chunks of time since the update. It’s almost impossible to use.
spotify: Hey! Which versions of iOS, and Spotify are you using? Also, can you DM us your account's username, or email? We'll take a look /M https://t.co/ldFdZRiNAt
spotify: Hey! Which versions of iOS, and Spotify are you using? Also, can you DM us your account's username, or email? We'll take a look /M https://t.co/ldFdZRiNAt",,
1955898,"Spotify Premium plays on-demand, everywhere. Plus you can skip unlimited. Get moving. https://t.co/XeIFIMvgEx","customer: Spotify Premium plays on-demand, everywhere. Plus you can skip unlimited. Get moving. https://t.co/XeIFIMvgEx
spotify: Hey there! You can check out other payments as well by following the steps at https://t.co/RywgYiE2hX /RE
customer: How can i avail premium if i don't have ccard?",,
1948155,spotify took money from my credit card and I didn't get premium version   @327793 @151631,"customer: spotify took money from my credit card and I didn't get premium version   @327793 @151631
spotify: Hey Dan, help's here! Can you DM us your account's username and email address? We'll take a look backstage /MQ https://t.co/ldFdZRiNAt
spotify: Hey Dan, help's here! Can you DM us your account's username and email address? We'll take a look backstage /MQ https://t.co/ldFdZRiNAt",,
2211025,@117168 any chance of a Spotify application for the Nintendo Switch? The PS4 and Xbox One have it now the Nintendo Switch needs it! :D,"customer: @117168 any chance of a Spotify application for the Nintendo Switch? The PS4 and Xbox One have it now the Nintendo Switch needs it! :D
spotify: Hi! We don't have any info on this right now, but you can also vote for the official idea here: https://t.co/mkQ919Yh0d /RB
spotify: Hi! We don't have any info on this right now, but you can also vote for the official idea here: https://t.co/mkQ919Yh0d /RB",,
1636791,Fix your app! @115888,"customer: Fix your app! @115888
spotify: @115888 Hey, help's here! We've just sent you a bit more info over DM. We'll carry on helping out there​ /RS
spotify: @115888 Hey, help's here! We've just sent you a bit more info over DM. We'll carry on helping out there​ /RS",,
1961534,"Hey @115888 I don't mind ads one bit in your web player, but audio ads that play *during* the song? That's a bit concerning.","customer: Hey @115888 I don't mind ads one bit in your web player, but audio ads that play *during* the song? That's a bit concerning.
spotify: Hey there! Could you let us know what device/OS you're using? We'll see what we can suggest /DF
customer: @115888 is that starting to happen?",,
526255,i cant make a payment.. what happen? I need your assistance.. so upset that i cant make payment,"customer: i cant make a payment.. what happen? I need your assistance.. so upset that i cant make payment
spotify: Hey Ikhwan! We've just sent you a DM 🙂 /GS
spotify: Hey Ikhwan! We've just sent you a DM 🙂 /GS",,
1470931,"is it really necessary to always have the Waze Maps banner pop up every time I open the app? Even after I press ""X""","customer: is it really necessary to always have the Waze Maps banner pop up every time I open the app? Even after I press ""X""
spotify: Hey there! We're here to help. Can you let us know what device, operating system, and version of Spotify you're using? /AN
spotify: Hey there! We're here to help. Can you let us know what device, operating system, and version of Spotify you're using? /AN",,
1558263,"Thank you, @SpotifyCares for hearing a request from all the fans ❤️ https://t.co/bjMdULIZ8Q","customer: Thank you, @SpotifyCares for hearing a request from all the fans ❤️ https://t.co/bjMdULIZ8Q
spotify: @234 @481621 Hey, you're welcome! We're just a tweet away if you need anything else /KT
spotify: @234 @481621 Hey, you're welcome! We're just a tweet away if you need anything else /KT",,
1897281,.@115888 @SpotifyCares https://t.co/yVR5NvnsGb 13 pages of comments spanning 2 years and still no action. I guess it's off to @133716,"customer: .@115888 @SpotifyCares https://t.co/yVR5NvnsGb 13 pages of comments spanning 2 years and still no action. I guess it's off to @133716
spotify: Hi! Sorry to hear that. We're afraid we don't have any news on this right now, but we'll make sure to pass your feedback on to the team /AU
spotify: Hi! Sorry to hear that. We're afraid we don't have any news on this right now, but we'll make sure to pass your feedback on to the team /AU",,
338319,ipad and iphone OS 11,"customer: ipad and iphone OS 11
spotify: Hi! We've just sent a DM your way. Let's carry on chatting there /RA
spotify: Hi! We've just sent a DM your way. Let's carry on chatting there /RA",,
639954,"Message indicating unavailability of the service with a spelling failure on the name.
For half a second, I believed it was a phishing scam.

But, it's actually the webpage you'll see if you're not living/travelling in one of the countries where @115888 is available 😞 https://t.co/WufVFSP1eg","customer: Message indicating unavailability of the service with a spelling failure on the name.
For half a second, I believed it was a phishing scam.

But, it's actually the webpage you'll see if you're not living/travelling in one of the countries where @115888 is available 😞 https://t.co/WufVFSP1eg
spotify: Hey there! Thanks for the heads up. We'll let the right folks know about this. Let us know if there's anything else we can help with 🙂 /LM
spotify: Hey there! Thanks for the heads up. We'll let the right folks know about this. Let us know if there's anything else we can help with 🙂 /LM",,
1498717,Hey @SpotifyCares do you respond to messages or just not bother?,"customer: Hey @SpotifyCares do you respond to messages or just not bother?
spotify: Hi! Sorry for the delay. We've just sent you a bit more info over DM. We'll carry on helping out there /AR
spotify: Hi! Sorry for the delay. We've just sent you a bit more info over DM. We'll carry on helping out there /AR",,
2070260,Activated trial on my laptop. Says 30 days from today it will expire. Why when i opened it via app it says i have only 7 days?,"customer: Activated trial on my laptop. Says 30 days from today it will expire. Why when i opened it via app it says i have only 7 days?
spotify: Hey there! Don't worry, help's here. Can you DM us your account's email address or username? We'll take a look backstage /MT https://t.co/ldFdZRiNAt
spotify: Hey there! Don't worry, help's here. Can you DM us your account's email address or username? We'll take a look backstage /MT https://t.co/ldFdZRiNAt",,
2067460,"did my payment,check accounts but still not premium. can u help me pls","customer: did my payment,check accounts but still not premium. can u help me pls
spotify: Hi! Don't worry, help has arrived. Could you send us a DM with your account's email address or username? We'll take a look backstage /DR https://t.co/ldFdZRiNAt
spotify: Hi! Don't worry, help has arrived. Could you send us a DM with your account's email address or username? We'll take a look backstage /DR https://t.co/ldFdZRiNAt",,
