root_tweet_id,text,intent_old,intent_blind,intent_final,escalate_old,escalate_blind,escalate_final,arbiter_reason
5026,All of my songs disappeared from My Songs. They're still in the playlist but I'm not able to view them. https://t.co/lP9IHtod1M,content_availability,app_technical,app_technical,False,False,False,Songs not visible suggests app display issue
2145983,"Dear @SpotifyCares, can we stop putting edited songs in the Daily Mixes? I'm expecting explicit content if listening to @13987, @10022, @62966 and more.",content_availability,feature_howto,content_availability,False,False,False,User requests specific song versions in mixes
2139010,"trying to extend my student discount for another year but when I log into unidays, the pop-up to log in comes back. What should I do?",subscription_management,billing_charges,subscription_management,False,False,False,"Issue with student discount extension, related to subscription"
2805320,i can't access my account even though i know i already input my username &amp; password,account_access,account_access,account_access,False,True,True,User can't access account and wants deactivation
2807661,Really upset that you took out song previews. How am I supposed to know if im going to like the song or not? Your developers literally ruined your own app.,app_technical,feature_howto,app_technical,False,False,False,User reports app feature removal causing dissatisfaction
639954,"Message indicating unavailability of the service with a spelling failure on the name.
For half a second, I believed it was a phishing scam.

But, it's actually the webpage you'll see if you're not living/travelling in one of the countries where @115888 is available 😞 https://t.co/WufVFSP1eg",content_availability,content_availability,content_availability,True,False,False,"User reports regional unavailability, no urgent issue"
654600,How did Fleet foxes get on #Blues radio in @115888??,content_availability,account_access,content_availability,True,True,True,User questions music on a specific radio station
2045319,Going thru @12630’s albums while working diligently today. That woman’s got one hell of a catalog.,praise_feedback,content_availability,content_availability,False,False,False,Customer wishes for album availability on Spotify
189747,r u guys okay https://t.co/maSPXok9Ms,other,app_technical,app_technical,False,False,False,User implies a technical issue; support suggests troubleshooting steps
1835513,not sure why I'm paying for a subscription so that I can save music to my phone if y'all are gonna make me redownload it,subscription_management,subscription_management,subscription_management,False,True,True,"Customer frustrated, issue recurring monthly"
1966378,Thank you so much @SpotifyCares you guys go above and beyond!,praise_feedback,praise_feedback,praise_feedback,True,False,False,"No issue reported, just thanks"
